street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"Apartment for rent - 11507 Lower Sunny Cir #B, Eagle River, AK 99577",Eagle River,AK,99577,61.32443,-149.56499,2,$2100.0,1 day ago,https://www.zillow.com/homedetails/11507-Lower-Sunny-Cir-B-Eagle-River-AK-99577/2089567022_zpid/
"Apartment for rent - 908 E 45th Ct APT 4, Anchorage, AK 99503",Anchorage,AK,99503,61.17953,-149.8651,2,$1350.0,2 days ago,https://www.zillow.com/homedetails/908-E-45th-Ct-APT-4-Anchorage-AK-99503/2089922041_zpid/
"Apartment for rent - 8 Dailey Ave #8, Anchorage, AK 99515",Anchorage,AK,99515,61.10995,-149.87811,2,$2095.0,14 days ago,https://www.zillow.com/homedetails/8-Dailey-Ave-8-Anchorage-AK-99515/2059471670_zpid/
"Apartment for rent - 3246 Adams Dr APT 3, Fairbanks, AK 99709",Fairbanks,AK,99709,64.83441,-147.7919,2,$1550.0,4 days ago,https://www.zillow.com/homedetails/3246-Adams-Dr-APT-3-Fairbanks-AK-99709/2080920864_zpid/
"Apartment for rent - Second Street Apartments - 4, 604 2nd St, Fairbanks, AK 99701",Fairbanks,AK,99701,64.84432,-147.69554,3,$1500.0,5 days ago,https://www.zillow.com/b/second-street-apartments-4-fairbanks-ak-5XxqfT/
"Beaver Lake Apartments - 1315 - 2545 Mission Rd, North Pole, AK",North Pole,AK,99705,64.75291,-147.33058,1,"$1,100+",,https://www.zillow.com/b/beaver-lake-apartments-1315-north-pole-ak-5dsRbX/
"House for rent - 6469 Village Pkwy, Anchorage, AK 99504",Anchorage,AK,99504,61.188187,-149.76088,2,$1900.0,5 days ago,https://www.zillow.com/homedetails/6469-Village-Pkwy-Anchorage-AK-99504/2123625818_zpid/
"Apartment for rent - 3457 Old Richardson Hwy, North Pole, AK 99705",North Pole,AK,99705,64.71272,-147.16397,2,$1800.0,13 days ago,https://www.zillow.com/homedetails/3457-Old-Richardson-Hwy-North-Pole-AK-99705/74485416_zpid/
"Townhouse for rent - 909 W 40th Ave APT 3, Anchorage, AK 99503",Anchorage,AK,99503,61.184704,-149.90123,2,$1700.0,3 days ago,https://www.zillow.com/homedetails/909-W-40th-Ave-APT-3-Anchorage-AK-99503/2093812501_zpid/
"Apartment for rent - 7340 E 21st Ave APT A, Anchorage, AK 99504",Anchorage,AK,99504,61.201866,-149.74332,2,$1350.0,25 days ago,https://www.zillow.com/homedetails/7340-E-21st-Ave-APT-A-Anchorage-AK-99504/2075352182_zpid/
