street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"Riverchase Landing - 200 River Haven Ln, Birmingham, AL",Birmingham,AL,35244,33.37526,-86.79346,1/2/3,"$1,348+/$1,208+/$1,524+",,https://www.zillow.com/b/riverchase-landing-hoover-al-9h6gTH/
"Revere at River Landing - 30 E Revere Blvd SW, Madison, AL",Madison,AL,35756,34.617798,-86.751724,1/2/3,"$1,190+/$1,390+/$1,660+",,https://www.zillow.com/b/revere-at-river-landing-madison-al-BtYp96/
"Bluffs at Riverview - 2801 Riverview Rd, Birmingham, AL",Birmingham,AL,35242,33.428314,-86.71653,1/2/3,"$1,475+/$1,595+/$1,745+",3D Tour,https://www.zillow.com/b/bluffs-at-riverview-birmingham-al-5XjR6n/
"20 Midtown - 2014 3rd Ave S, Birmingham, AL",Birmingham,AL,35233,33.510387,-86.8021,0/1/2,"$1,135+/$1,550+/$2,000+",Updated today,https://www.zillow.com/b/20-midtown-birmingham-al-CHZPJQ/
"Apartment for rent - Essex Square, 3550 Watermelon Rd, Northport, AL 35473",Northport,AL,35473,33.238644,-87.55403,1,$875.0,115 days ago,https://www.zillow.com/b/essex-square-northport-al-5XjKVt/
"Central Park - 129 Royal Dr, Madison, AL",Madison,AL,35758,34.68403,-86.75915,3,"$1,885+",,https://www.zillow.com/b/central-park-madison-al-CC5Pkm/
"Peppertree - 8201 Vaughn Rd, Montgomery, AL",Montgomery,AL,36116,32.340137,-86.16993,1/2,"$1,085+/$1,140+",,https://www.zillow.com/b/peppertree-montgomery-al-5Xjq3r/
"Old Shell Lofts Phase 2 - 1750 Old Shell Rd, Mobile, AL",Mobile,AL,36604,30.689953,-88.08001,1/2,"$1,100+/$1,615+",,https://www.zillow.com/b/old-shell-lofts-phase-2-mobile-al-Bg58K3/
"Huntley Apartments - 100 Huntley Apartment Dr, Pelham, AL",Pelham,AL,35124,33.27197,-86.79521,1/2/3,"$1,246+/$1,568+/$1,464+",,https://www.zillow.com/b/huntley-apartments-pelham-al-9DWPRZ/
"The Glenn - 2568 E Glenn Ave, Auburn, AL",Auburn,AL,36830,32.612633,-85.4234,3,"$2,535+",,https://www.zillow.com/b/the-glenn-auburn-al-9Qd3MP/
"Colonial Grand at Edgewater - 1030 Grandeview Blvd, Huntsville, AL",Huntsville,AL,35824,34.773964,-86.70078,1/2/3,"$1,028+/$1,133+/$1,358+",,https://www.zillow.com/b/colonial-grand-at-edgewater-huntsville-al-5XjFFd/
"Virtuoso Living - 100 Rockcrest Dr NW, Huntsville, AL",Huntsville,AL,35806,34.756126,-86.68302,1/2,"$1,275+/$1,500+",,https://www.zillow.com/b/virtuoso-living-huntsville-al-BrxRjg/
"Verandas at Taylor Oaks - 7701 Taylor Oaks Cir, Montgomery, AL",Montgomery,AL,36116,32.324677,-86.18206,1/2/3,"$1,139+/$1,196+/$1,423+",,https://www.zillow.com/b/verandas-at-taylor-oaks-montgomery-al-5Xjq4R/
"Inkwell on Grandview - 3560 Grandview Pkwy, Birmingham, AL",Birmingham,AL,35243,33.440067,-86.71709,0/1/2/3,"$1,559+/$1,559+/$2,469+/$3,145+",,https://www.zillow.com/b/inkwell-on-grandview-birmingham-al-9DYMGL/
"Avenue Madison - 85 Shorter St, Madison, AL",Madison,AL,35758,34.690063,-86.750916,1/2,"$1,303+/$1,540+",,https://www.zillow.com/b/avenue-madison-madison-al-C3cpFY/
"The Reserve of Foley - 21450 County Road 12 S, Foley, AL",Foley,AL,36535,30.353855,-87.65998,0/1/2/3,"$1,200+/$1,325+/$1,500+/$1,800+",,https://www.zillow.com/b/the-reserve-of-foley-foley-al-BLmWHp/
"The Hamptons at Pine Bend - 1030 Montlimar Dr, Mobile, AL",Mobile,AL,36609,30.670013,-88.13561,1/2/3,"$847+/$956+/$1,483+",,https://www.zillow.com/b/the-hamptons-at-pine-bend-mobile-al-5XjFFw/
"4700 Colonnade - 4700 Colonnade Pl, Birmingham, AL",Birmingham,AL,35243,33.43368,-86.73714,1/2,"$1,611+/$1,809+",,https://www.zillow.com/b/4700-colonnade-birmingham-al-65fcSQ/
"Lakeshore Ridge - 1700 Lakeshore Rdg, Birmingham, AL",Birmingham,AL,35211,33.435455,-86.858284,1/2/3,"$1,311+/$1,237+/$2,029+",,https://www.zillow.com/b/lakeshore-ridge-birmingham-al-5XjVYQ/
"Anthos at Belmont - 3580 McGehee Place Dr S, Montgomery, AL",Montgomery,AL,36111,32.332813,-86.242516,1/2/3,$675+/$760+/$975+,,https://www.zillow.com/b/anthos-at-belmont-montgomery-al-5Xt4GL/
"Sturbridge Commons - 8700 Seaton Blvd, Montgomery, AL",Montgomery,AL,36116,32.336754,-86.17273,1/2/3,"$1,048+/$1,087+/$1,378+",,https://www.zillow.com/b/sturbridge-commons-montgomery-al-5Xjq4L/
"Apartment for rent - Henry House at Clift Farm, 1435 Balch Rd #1303, Madison, AL 35757",Madison,AL,35757,,,2,$1530.0,5 days ago,https://www.zillow.com/b/henry-house-at-clift-farm-madison-al-BWkbdz/
"Mirage on University - 112 S University Blvd, Mobile, AL",Mobile,AL,36608,30.685604,-88.17516,2/3/4,"$1,350+/$1,595+/$1,550+",,https://www.zillow.com/b/mirage-on-university-mobile-al-5XqnVq/
"Apartment for rent - Knollwood Apartments, 1651 Knollwood Dr #605, Mobile, AL 36609",Mobile,AL,36609,,,1,$826.0,1 hour ago,https://www.zillow.com/b/knollwood-apartments-mobile-al-5Xk2m9/
"Knollwood Apartments - 1651 Knollwood Dr, Mobile, AL",Mobile,AL,36609,30.656034,-88.17839,1/2,$783+/$949+,,https://www.zillow.com/b/knollwood-apartments-mobile-al-5Xk2m9/
"Trails at Alabaster - 1740 Woodbrook Trl, Alabaster, AL",Alabaster,AL,35007,33.221584,-86.8248,1/2,"$993+/$1,167+",,https://www.zillow.com/b/trails-at-alabaster-alabaster-al-5XjSwM/
"Elevate 5050 - 5050 Bell Rd, Montgomery, AL",Montgomery,AL,36116,32.31981,-86.21254,1/2/3,"$1,043+/$1,155+/$1,343+",,https://www.zillow.com/b/elevate-5050-montgomery-al-5Xjq4n/
"Park Place - 600 24th St N, Birmingham, AL",Birmingham,AL,35203,33.5219,-86.80366,1/2/3,"$996+/$1,116+/$1,587+",,https://www.zillow.com/b/park-place-birmingham-al-5XjL34/
"Seleno at Bridge Street - 6854 Governors West NW, Huntsville, AL",Huntsville,AL,35806,34.718967,-86.67583,1/2/3,"$1,280+/$1,587+/$1,877+",,https://www.zillow.com/b/seleno-at-bridge-street-huntsville-al-BMRs36/
"Henry House at Clift Farm - 1435 Balch Rd, Madison, AL",Madison,AL,35757,34.759094,-86.767395,1/2/3,"$1,137+/$1,347+/$1,605+",3D Tour,https://www.zillow.com/b/henry-house-at-clift-farm-madison-al-BWkbdz/
"Palmer House - 240 Stadium Way, Madison, AL",Madison,AL,35758,34.686157,-86.72058,0/1/2,"$1,170+/$1,235+/$1,600+",,https://www.zillow.com/b/palmer-house-madison-al-Bv96VZ/
