street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
601 Van Ness Ave APT 430,San Francisco,CA,94102,37.78168,-122.42091,1,$540000.0,21 days on Zillow,https://www.zillow.com/homedetails/601-Van-Ness-Ave-APT-430-San-Francisco-CA-94102/15077954_zpid/
1370 11th Ave #2,San Francisco,CA,94122,,,1,$559000.0,35 days on Zillow,https://www.zillow.com/homedetails/1370-11th-Ave-2-San-Francisco-CA-94122/2060009042_zpid/
8300 Oceanview Ter APT 316,San Francisco,CA,94132,37.71042,-122.467705,1,$565000.0,Open: Sat. 2-4pm,https://www.zillow.com/homedetails/8300-Oceanview-Ter-APT-316-San-Francisco-CA-94132/67394784_zpid/
1157 Alabama St #1157,San Francisco,CA,94110,,,2,$789000.0,Open: Sun. 2-4pm,https://www.zillow.com/homedetails/1157-Alabama-St-1157-San-Francisco-CA-94110/2059998871_zpid/
246 2nd St APT 1301,San Francisco,CA,94105,37.785744,-122.3974,1,$759000.0,123 days on Zillow,https://www.zillow.com/homedetails/246-2nd-St-APT-1301-San-Francisco-CA-94105/53153523_zpid/
88 Arkansas St #205,San Francisco,CA,94107,,,1,$669000.0,33 days on Zillow,https://www.zillow.com/homedetails/88-Arkansas-St-205-San-Francisco-CA-94107/2059982264_zpid/
49 1/2 Joost Ave,San Francisco,CA,94131,,,3,$799000.0,137 days on Zillow,https://www.zillow.com/homedetails/49-1-2-Joost-Ave-San-Francisco-CA-94131/2061202295_zpid/
"Landing 1-203 Plan, The San Francisco Shipyard : Landing",San Francisco,CA,94124,37.7273,-122.3706,1,$549000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-landing/2064283176_zpid/
"Landing 1-108 Plan, The San Francisco Shipyard : Landing",San Francisco,CA,94124,37.7273,-122.3706,1,$599000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-landing/2064283184_zpid/
"Landing 1-304 Plan, The San Francisco Shipyard : Landing",San Francisco,CA,94124,37.7273,-122.3706,2,$699000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-landing/2064283198_zpid/
1400 Mission St APT 406,San Francisco,CA,94103,37.775284,-122.41649,1,$353130.0,"$10,000 (Nov 23)",https://www.zillow.com/homedetails/1400-Mission-St-APT-406-San-Francisco-CA-94103/241585099_zpid/
385 10th St APT 6,San Francisco,CA,94103,37.772038,-122.41146,1,$849000.0,75 days on Zillow,https://www.zillow.com/homedetails/385-10th-St-APT-6-San-Francisco-CA-94103/80735499_zpid/
1400 Mission St APT 710,San Francisco,CA,94103,37.775284,-122.41649,1,$363324.0,78 days on Zillow,https://www.zillow.com/homedetails/1400-Mission-St-APT-710-San-Francisco-CA-94103/241585138_zpid/
246 2nd St APT 1401,San Francisco,CA,94105,37.785744,-122.3974,1,$750000.0,26 days on Zillow,https://www.zillow.com/homedetails/246-2nd-St-APT-1401-San-Francisco-CA-94105/53153529_zpid/
426 A Carl St,San Francisco,CA,94117,,,2,$811000.0,21 days on Zillow,https://www.zillow.com/homedetails/426-A-Carl-St-San-Francisco-CA-94117/2059745659_zpid/
520 Natoma St APT 2,San Francisco,CA,94103,37.779884,-122.408325,1,$399000.0,Open: Sun. 3-4pm,https://www.zillow.com/homedetails/520-Natoma-St-APT-2-San-Francisco-CA-94103/2106116840_zpid/
"Landing 1-102 Plan, The San Francisco Shipyard : Landing",San Francisco,CA,94124,37.7273,-122.3706,2,$749000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-landing/2064283185_zpid/
"Landing 1-305 Plan, The San Francisco Shipyard : Landing",San Francisco,CA,94124,37.7273,-122.3706,2,$699000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-landing/2062757020_zpid/
187 Russ St,San Francisco,CA,94103,37.778065,-122.40684,2,$849000.0,139 days on Zillow,https://www.zillow.com/homedetails/187-Russ-St-San-Francisco-CA-94103/2113750874_zpid/
