street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
10448 Bronzebush Ave,Baton Rouge,LA,70816,30.427895,-91.07039,4.0,$169990.0,"$19,010 (Feb 14)",https://www.zillow.com/homedetails/10448-Bronzebush-Ave-Baton-Rouge-LA-70816/66311117_zpid/
528 Saint Louis St APT 203,New Orleans,LA,70130,29.95521,-90.0646,2.0,$435000.0,33 days on Zillow,https://www.zillow.com/homedetails/528-Saint-Louis-St-APT-203-New-Orleans-LA-70130/148962378_zpid/
1549 Philip St #B,New Orleans,LA,70130,29.932945,-90.080894,1.0,$275000.0,18 hours ago,https://www.zillow.com/homedetails/1549-Philip-St-B-New-Orleans-LA-70130/2110216933_zpid/
3206 Mackey Ln,Shreveport,LA,71118,32.41291,-93.81233,3.0,$95000.0,16 hours ago,https://www.zillow.com/homedetails/3206-Mackey-Ln-Shreveport-LA-71118/51323985_zpid/
620 Neil Rd,Westlake,LA,70669,30.280424,-93.23314,2.0,$189900.0,11 days on Zillow,https://www.zillow.com/homedetails/620-Neil-Rd-Westlake-LA-70669/81580045_zpid/
17745 Bevan Dr,Baton Rouge,LA,70817,30.351437,-90.99105,3.0,$229900.0,4 days on Zillow,https://www.zillow.com/homedetails/17745-Bevan-Dr-Baton-Rouge-LA-70817/66377029_zpid/
10811 Landsbury Ave,Baton Rouge,LA,70809,30.40603,-91.06525,5.0,$369500.0,14 days on Zillow,https://www.zillow.com/homedetails/10811-Landsbury-Ave-Baton-Rouge-LA-70809/66363610_zpid/
299 Rachel Ln,Des Allemands,LA,70030,29.816818,-90.48024,4.0,$379900.0,"$20,000 (Feb 2)",https://www.zillow.com/homedetails/299-Rachel-Ln-Des-Allemands-LA-70030/119414053_zpid/
1415 Fremont St,New Iberia,LA,70560,30.03731,-91.81966,4.0,$177200.0,"$2,700 (Jan 30)",https://www.zillow.com/homedetails/1415-Fremont-St-New-Iberia-LA-70560/77619635_zpid/
6043 Old Mooringsport Rd,Shreveport,LA,71107,32.602566,-93.85731,3.0,$85000.0,16 hours ago,https://www.zillow.com/homedetails/6043-Old-Mooringsport-Rd-Shreveport-LA-71107/2059086450_zpid/
288 Moonraker Dr,Slidell,LA,70458,30.224108,-89.813354,3.0,$390000.0,53 days on Zillow,https://www.zillow.com/homedetails/288-Moonraker-Dr-Slidell-LA-70458/96195807_zpid/
39098 Prairie South Dr,Gonzales,LA,70737,30.275671,-90.95215,3.0,$210000.0,13 days on Zillow,https://www.zillow.com/homedetails/39098-Prairie-South-Dr-Gonzales-LA-70737/108604481_zpid/
1887 Crete St,New Orleans,LA,70119,29.987452,-90.07645,4.0,$245000.0,1 day on Zillow,https://www.zillow.com/homedetails/1887-Crete-St-New-Orleans-LA-70119/148983120_zpid/
