street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
9969 Box Rd,Semmes,AL,36575,30.821863,-88.27833,2,$215000.0,18 hours ago,https://www.zillow.com/homedetails/9969-Box-Rd-Semmes-AL-36575/67723682_zpid/
117 55th St,Fairfield,AL,35064,33.482983,-86.9172,2,$87900.0,1 day on Zillow,https://www.zillow.com/homedetails/117-55th-St-Fairfield-AL-35064/1023290_zpid/
25518 Clem Rd,Elkmont,AL,35620,34.92708,-86.89157,3,$224900.0,20 hours ago,https://www.zillow.com/homedetails/25518-Clem-Rd-Elkmont-AL-35620/128489460_zpid/
18882 Wilters St,Robertsdale,AL,36567,30.552673,-87.70207,3,$272500.0,"$2,500 (Feb 17)",https://www.zillow.com/homedetails/18882-Wilters-St-Robertsdale-AL-36567/72750116_zpid/
402 Fikes Ferry Rd,Marion,AL,36756,32.618362,-87.31019,3,$179000.0,14 hours ago,https://www.zillow.com/homedetails/402-Fikes-Ferry-Rd-Marion-AL-36756/2059097536_zpid/
412 Holly Ridge Dr,Montgomery,AL,36109,32.3746,-86.23702,4,$219900.0,Open: Fri. 4-6pm,https://www.zillow.com/homedetails/412-Holly-Ridge-Dr-Montgomery-AL-36109/72787041_zpid/
168 Tessa Cir,Albertville,AL,35950,34.25051,-86.27845,3,$210000.0,15 hours ago,https://www.zillow.com/homedetails/168-Tessa-Cir-Albertville-AL-35950/108364620_zpid/
2653 Foreman Cir,Mobile,AL,36606,30.681503,-88.10435,2,$44900.0,13 hours ago,https://www.zillow.com/homedetails/2653-Foreman-Cir-Mobile-AL-36606/51012221_zpid/
15618 Bramblewood Ct,Foley,AL,36535,30.352938,-87.756516,3,$259500.0,"$2,500 (Feb 19)",https://www.zillow.com/homedetails/15618-Bramblewood-Ct-Foley-AL-36535/90628450_zpid/
545 Cedarbrook Dr,Auburn,AL,36830,32.628155,-85.494736,3,$329954.0,Open: M: 8:00 AM-6:00 P...,https://www.zillow.com/homedetails/545-Cedarbrook-Dr-Auburn-AL-36830/2059099347_zpid/
2104 Short 14th St,Bessemer,AL,35020,33.409733,-86.981636,3,$82500.0,1 day on Zillow,https://www.zillow.com/homedetails/2104-Short-14th-St-Bessemer-AL-35020/1044726_zpid/
1850 Louise Ave,Southside,AL,35907,33.867756,-86.04243,3,$219500.0,13 hours ago,https://www.zillow.com/homedetails/1850-Louise-Ave-Southside-AL-35907/75994754_zpid/
1303 Tower St,Athens,AL,35611,34.803356,-86.984505,3,$174900.0,1 day on Zillow,https://www.zillow.com/homedetails/1303-Tower-St-Athens-AL-35611/128479166_zpid/
104 Golmon Cir,Daphne,AL,36526,30.638668,-87.90747,4,$215000.0,14 days on Zillow,https://www.zillow.com/homedetails/104-Golmon-Cir-Daphne-AL-36526/72737026_zpid/
1234 State Highway 45,Hayden,AL,35079,,,3,$79900.0,20 hours ago,https://www.zillow.com/homedetails/1234-State-Highway-45-Hayden-AL-35079/2059103836_zpid/
1216 Seminole Dr NW,Hartselle,AL,35640,34.446663,-86.957985,3,$229900.0,17 hours ago,https://www.zillow.com/homedetails/1216-Seminole-Dr-NW-Hartselle-AL-35640/109613693_zpid/
1528 5th Ave W,Birmingham,AL,35208,33.509125,-86.86264,2,$135000.0,18 hours ago,https://www.zillow.com/homedetails/1528-5th-Ave-W-Birmingham-AL-35208/941373_zpid/
585 Lime Rock Rd,Tuscumbia,AL,35674,34.60287,-87.751366,3,$123000.0,"$11,000 (Jan 20)",https://www.zillow.com/homedetails/585-Lime-Rock-Rd-Tuscumbia-AL-35674/111984647_zpid/
258 Siena Vis,Mobile,AL,36607,30.696604,-88.10106,3,$99900.0,7 days on Zillow,https://www.zillow.com/homedetails/258-Siena-Vis-Mobile-AL-36607/51011364_zpid/
5 Wheatland Way,Fort Mitchell,AL,36856,32.26354,-84.975174,4,$279900.0,19 hours ago,https://www.zillow.com/homedetails/5-Wheatland-Way-Fort-Mitchell-AL-36856/113738587_zpid/
715 Kornegay Loop,Altoona,AL,35952,34.09041,-86.3127,3,$157900.0,18 hours ago,https://www.zillow.com/homedetails/715-Kornegay-Loop-Altoona-AL-35952/88005_zpid/
520 Hardwood Ln,Birmingham,AL,35215,33.672886,-86.67215,3,$225900.0,Open: Sun. 2-4pm,https://www.zillow.com/homedetails/520-Hardwood-Ln-Birmingham-AL-35215/67747452_zpid/
11 Redbud Ct UNIT 7,Dadeville,AL,36853,32.749493,-85.81248,2,$185000.0,1 day on Zillow,https://www.zillow.com/homedetails/11-Redbud-Ct-UNIT-7-Dadeville-AL-36853/2129814271_zpid/
727 Oak Ridge Dr,Birmingham,AL,35214,33.564926,-86.90503,4,$88400.0,11 days on Zillow,https://www.zillow.com/homedetails/727-Oak-Ridge-Dr-Birmingham-AL-35214/923532_zpid/
6671 Wesson Cir,Pinson,AL,35126,33.70491,-86.61922,4,$350000.0,3D Tour,https://www.zillow.com/homedetails/6671-Wesson-Cir-Pinson-AL-35126/55536978_zpid/
3403 Tall Timbers Cir NW,Huntsville,AL,35810,34.770023,-86.61108,3,$249900.0,17 hours ago,https://www.zillow.com/homedetails/3403-Tall-Timbers-Cir-NW-Huntsville-AL-35810/92080648_zpid/
9552 Montgomery Hwy,Luverne,AL,36049,31.83932,-86.304985,4,$225000.0,17 hours ago,https://www.zillow.com/homedetails/9552-Montgomery-Hwy-Luverne-AL-36049/121443644_zpid/
8560 Hunters Pointe Dr N,Theodore,AL,36582,30.56326,-88.24375,4,$74900.0,"$5,000 (Feb 19)",https://www.zillow.com/homedetails/8560-Hunters-Pointe-Dr-N-Theodore-AL-36582/88899959_zpid/
102 Jewell St,Opp,AL,36467,31.269724,-86.25782,2,$38500.0,1 day on Zillow,https://www.zillow.com/homedetails/102-Jewell-St-Opp-AL-36467/248135943_zpid/
2745 Halcyon Downs Loop,Montgomery,AL,36117,32.347202,-86.17414,3,$240000.0,1 day on Zillow,https://www.zillow.com/homedetails/2745-Halcyon-Downs-Loop-Montgomery-AL-36117/118930888_zpid/
111 13th Ave,Alexander City,AL,35010,32.942272,-85.937416,3,$77900.0,19 hours ago,https://www.zillow.com/homedetails/111-13th-Ave-Alexander-City-AL-35010/104564953_zpid/
203 Alice Ln,Prattville,AL,36066,32.433464,-86.40794,3,$109900.0,21 hours ago,https://www.zillow.com/homedetails/203-Alice-Ln-Prattville-AL-36066/135027_zpid/
235 Montclair Loop,Daphne,AL,36526,30.634106,-87.87571,3,$239000.0,"$16,000 (Feb 8)",https://www.zillow.com/homedetails/235-Montclair-Loop-Daphne-AL-36526/72734880_zpid/
213 N 18th St,Lanett,AL,36863,32.88048,-85.18856,4,$489000.0,3D Tour,https://www.zillow.com/homedetails/213-N-18th-St-Lanett-AL-36863/104475891_zpid/
205 Lee Road 2194,Phenix City,AL,36870,32.489807,-85.11564,5,$325000.0,22 hours ago,https://www.zillow.com/homedetails/205-Lee-Road-2194-Phenix-City-AL-36870/117750269_zpid/
7808 N Wenzel Rd,Foley,AL,36535,30.338587,-87.70898,3,$350000.0,"$25,000 (Feb 12)",https://www.zillow.com/homedetails/7808-N-Wenzel-Rd-Foley-AL-36535/2140996184_zpid/
917 Pinetucky Ln,Heflin,AL,36264,33.46729,-85.53359,3,$60000.0,20 days on Zillow,https://www.zillow.com/homedetails/917-Pinetucky-Ln-Heflin-AL-36264/2059288607_zpid/
1341 Stonecrest Dr,Birmingham,AL,35235,33.6152,-86.65666,5,$389900.0,9 days on Zillow,https://www.zillow.com/homedetails/1341-Stonecrest-Dr-Birmingham-AL-35235/60568287_zpid/
205 Wyatt Henry Ln SE,Owens Cross Roads,AL,35763,34.665752,-86.48882,3,$350000.0,20 hours ago,https://www.zillow.com/homedetails/205-Wyatt-Henry-Ln-SE-Owens-Cross-Roads-AL-35763/92148877_zpid/
14125 Dairy Barn Rd,Cottondale,AL,35453,33.0828,-87.37738,3,$300000.0,16 hours ago,https://www.zillow.com/homedetails/14125-Dairy-Barn-Rd-Cottondale-AL-35453/338507795_zpid/
528 Overton Dr,Prattville,AL,36066,32.486732,-86.42313,4,$329000.0,21 hours ago,https://www.zillow.com/homedetails/528-Overton-Dr-Prattville-AL-36066/89031283_zpid/
