street_address,city,state,zipCode,latitude,longitude,beds,sold_price,sold_date,property_link
615 Guerrero St APT 4,San Francisco,CA,94110,37.761265,-122.42344,1,$680000.0,Sold 12/05/2022,https://www.zillow.com/homedetails/615-Guerrero-St-APT-4-San-Francisco-CA-94110/2112230985_zpid/
355 Bryant St UNIT 206,San Francisco,CA,94107,37.78355,-122.39242,1,$3250.0,Sold 12/03/2022,https://www.zillow.com/homedetails/355-Bryant-St-UNIT-206-San-Francisco-CA-94107/80743013_zpid/
1434 Newcomb Ave,San Francisco,CA,94124,37.73369,-122.38654,3,$605000.0,Sold 12/02/2022,https://www.zillow.com/homedetails/1434-Newcomb-Ave-San-Francisco-CA-94124/15156169_zpid/
1435 Newcomb Ave,San Francisco,CA,94124,37.7333,-122.38691,2,$605000.0,Sold 12/02/2022,https://www.zillow.com/homedetails/1435-Newcomb-Ave-San-Francisco-CA-94124/15156226_zpid/
101 Crescent Way APT 2402,San Francisco,CA,94134,37.710762,-122.389565,2,$585000.0,Sold 12/02/2022,https://www.zillow.com/homedetails/101-Crescent-Way-APT-2402-San-Francisco-CA-94134/64971729_zpid/
1 Daniel Burnham Ct APT 515,San Francisco,CA,94109,37.786755,-122.42249,1,$575000.0,Sold 12/01/2022,https://www.zillow.com/homedetails/1-Daniel-Burnham-Ct-APT-515-San-Francisco-CA-94109/15076592_zpid/
163 8th Ave,San Francisco,CA,94118,37.78539,-122.46707,3,$750000.0,Sold 12/01/2022,https://www.zillow.com/homedetails/163-8th-Ave-San-Francisco-CA-94118/15089743_zpid/
260 King St UNIT 907,San Francisco,CA,94107,37.77725,-122.39376,1,$730000.0,Sold 12/01/2022,https://www.zillow.com/homedetails/260-King-St-UNIT-907-San-Francisco-CA-94107/69819641_zpid/
936 Broadway St #A,San Francisco,CA,94133,37.79718,-122.412544,3,$3400.0,Sold 12/01/2022,https://www.zillow.com/homedetails/936-Broadway-St-A-San-Francisco-CA-94133/2077906091_zpid/
333 1st St UNIT 1102,San Francisco,CA,94105,37.787125,-122.39396,1,$370742.0,Sold 11/30/2022,https://www.zillow.com/homedetails/333-1st-St-UNIT-1102-San-Francisco-CA-94105/64971582_zpid/
451 Kansas St UNIT 551,San Francisco,CA,94107,37.764065,-122.403275,1,$770000.0,Sold 11/30/2022,https://www.zillow.com/homedetails/451-Kansas-St-UNIT-551-San-Francisco-CA-94107/89240508_zpid/
1990 Green St APT 107,San Francisco,CA,94123,37.79685,-122.43182,1,$493500.0,Sold 11/29/2022,https://www.zillow.com/homedetails/1990-Green-St-APT-107-San-Francisco-CA-94123/15071987_zpid/
601 Van Ness Ave APT 212,San Francisco,CA,94102,37.78168,-122.42091,1,$485000.0,Sold 11/29/2022,https://www.zillow.com/homedetails/601-Van-Ness-Ave-APT-212-San-Francisco-CA-94102/15077736_zpid/
1684 Palou Ave,San Francisco,CA,94124,37.73509,-122.39233,2,$800000.0,Sold 11/29/2022,https://www.zillow.com/homedetails/1684-Palou-Ave-San-Francisco-CA-94124/15156411_zpid/
660 Natoma St APT 1,San Francisco,CA,94103,37.77745,-122.41143,1,$545000.0,Sold 11/29/2022,https://www.zillow.com/homedetails/660-Natoma-St-APT-1-San-Francisco-CA-94103/89236994_zpid/
542 Paris St,San Francisco,CA,94112,37.720253,-122.436356,4,$819000.0,Sold 11/29/2022,https://www.zillow.com/homedetails/542-Paris-St-San-Francisco-CA-94112/332862303_zpid/
616 Moraga St APT 2,San Francisco,CA,94122,37.75667,-122.46942,1,$725000.0,Sold 11/29/2022,https://www.zillow.com/homedetails/616-Moraga-St-APT-2-San-Francisco-CA-94122/2075614017_zpid/
1467 McKinnon Ave,San Francisco,CA,94124,37.734245,-122.38691,2,$700000.0,Sold 11/28/2022,https://www.zillow.com/homedetails/1467-McKinnon-Ave-San-Francisco-CA-94124/15156192_zpid/
851 Van Ness Ave UNIT 400,San Francisco,CA,94109,37.78352,-122.42136,2,$788000.0,Sold 11/28/2022,https://www.zillow.com/homedetails/851-Van-Ness-Ave-UNIT-400-San-Francisco-CA-94109/60184295_zpid/
8100 Oceanview Ter APT 220,San Francisco,CA,94132,37.71042,-122.467705,2,$698000.0,Sold 11/28/2022,https://www.zillow.com/homedetails/8100-Oceanview-Ter-APT-220-San-Francisco-CA-94132/67394654_zpid/
61 Grace St,San Francisco,CA,94103,37.774944,-122.41444,3,$700000.0,Sold 11/28/2022,https://www.zillow.com/homedetails/61-Grace-St-San-Francisco-CA-94103/241586181_zpid/
