street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"House for rent - 7103 Spring Gardens Dr, Baton Rouge, LA 70817",Baton Rouge,LA,70817,30.39021,-91.02204,3,$2100.0,28 days ago,https://www.zillow.com/homedetails/7103-Spring-Gardens-Dr-Baton-Rouge-LA-70817/315197216_zpid/
"Apartment for rent - Elmwood Estates, 372 Huenefeld Rd, Monroe, LA 71203",Monroe,LA,71203,32.51723,-91.98138,1,$575.0,33 days ago,https://www.zillow.com/b/elmwood-estates-monroe-la-9JwzgT/
"House for rent - 870 Von Blond Dr #A, Lake Charles, LA 70615",Lake Charles,LA,70615,30.221502,-93.17162,3,$750.0,8 days ago,https://www.zillow.com/homedetails/870-Von-Blond-Dr-A-Lake-Charles-LA-70615/2098269335_zpid/
"Apartment for rent - 3700 S Liberty St, New Orleans, LA 70115",New Orleans,LA,70115,29.933739,-90.096725,4,$1995.0,19 days ago,https://www.zillow.com/homedetails/3700-S-Liberty-St-New-Orleans-LA-70115/114012946_zpid/
"House for rent - 1307 Hugh Wallis Rd S, Lafayette, LA 70508",Lafayette,LA,70508,30.186144,-91.9944,5,$1450.0,19 days ago,https://www.zillow.com/homedetails/1307-Hugh-Wallis-Rd-S-Lafayette-LA-70508/81691723_zpid/
"Apartment for rent - 11671 N Harrells Ferry Rd APT 3, Baton Rouge, LA 70816",Baton Rouge,LA,70816,30.43241,-91.05205,2,$825.0,12 days ago,https://www.zillow.com/homedetails/11671-N-Harrells-Ferry-Rd-APT-3-Baton-Rouge-LA-70816/2118293313_zpid/
"House for rent - 842 Boulevard St, Shreveport, LA 71104",Shreveport,LA,71104,32.49013,-93.74752,3,$1250.0,3D Tour,https://www.zillow.com/homedetails/842-Boulevard-St-Shreveport-LA-71104/51350591_zpid/
"Apartment for rent - 1670 Agriculture St, New Orleans, LA 70119",New Orleans,LA,70119,29.986948,-90.07065,2,$1200.0,39 days ago,https://www.zillow.com/homedetails/1670-Agriculture-St-New-Orleans-LA-70119/2060860095_zpid/
"Apartment for rent - 2 bed, $650, 303 Vieux Orleans Cir #D, Lafayette, LA 70508",Lafayette,LA,70508,30.167484,-92.00765,2,$650.0,46 days ago,https://www.zillow.com/b/303-vieux-orleans-lafayette-la-9JpttV/
"Apartment for rent - 4127 Willow St, New Orleans, LA 70115",New Orleans,LA,70115,29.939594,-90.1005,2,$1700.0,21 days ago,https://www.zillow.com/homedetails/4127-Willow-St-New-Orleans-LA-70115/84477240_zpid/
"Apartment for rent - 226 Lovely Rd, 226 Lovely Rd UNIT A, Duson, LA 70529",Duson,LA,70529,30.174522,-92.13524,2,$1095.0,18 days ago,https://www.zillow.com/b/226-lovely-rd-duson-la-9JqLbj/
"Apartment for rent - Boyd Manor, 6440 General Meyer Ave, New Orleans, LA 70131",New Orleans,LA,70131,29.92394,-89.98413,1,$592.0,33 days ago,https://www.zillow.com/b/boyd-manor-new-orleans-la-9n85yY/
"Apartment for rent - 1021 Governor Nicholls St, New Orleans, LA 70116",New Orleans,LA,70116,29.964342,-90.06418,2,$1795.0,11 days ago,https://www.zillow.com/homedetails/1021-Governor-Nicholls-St-New-Orleans-LA-70116/2059290163_zpid/
"Apartment for rent - 4250 Dodson Ave #A, Baton Rouge, LA 70808",Baton Rouge,LA,70808,30.402431,-91.17484,3,$1750.0,26 days ago,https://www.zillow.com/homedetails/4250-Dodson-Ave-A-Baton-Rouge-LA-70808/108611934_zpid/
"Apartment for rent - 4727 Banks St, New Orleans, LA 70119",New Orleans,LA,70119,29.976688,-90.10969,2,$1395.0,39 days ago,https://www.zillow.com/homedetails/4727-Banks-St-New-Orleans-LA-70119/2107055602_zpid/
"Townhouse for rent - 1561 Ham Reid Rd APT 2, Lake Charles, LA 70605",Lake Charles,LA,70605,30.153967,-93.2413,2,$1000.0,41 days ago,https://www.zillow.com/homedetails/1561-Ham-Reid-Rd-APT-2-Lake-Charles-LA-70605/2060784202_zpid/
"For Rent - 1017 Bengal Crossing Ave, Baton Rouge, LA",Baton Rouge,LA,70820,30.369629,-91.18219,3,"$2,095+",43 days ago,https://www.zillow.com/b/1017-bengal-crossing-ave-baton-rouge-la-C8jRnD/
"House for rent - 949 Nothlake Ct, Lake Charles, LA 70611",Lake Charles,LA,70611,30.34543,-93.19916,3,$2950.0,12 days ago,https://www.zillow.com/homedetails/949-Nothlake-Ct-Lake-Charles-LA-70611/2078526044_zpid/
"Apartment for rent - Tarpon South Apartments, 110 Peach St, Galliano, LA 70354",Galliano,LA,70354,29.446041,-90.31214,1,$700.0,33 days ago,https://www.zillow.com/b/tarpon-south-apartments-galliano-la-9VrGH2/
"House for rent - 3357 Myrtle Grove Dr, Baton Rouge, LA 70810",Baton Rouge,LA,70810,30.389,-91.09892,2,$1500.0,25 days ago,https://www.zillow.com/homedetails/3357-Myrtle-Grove-Dr-Baton-Rouge-LA-70810/66271540_zpid/
"House for rent - 901 Priscilla Ln, Lafayette, LA 70501",Lafayette,LA,70501,30.250156,-92.01643,3,$775.0,20 days ago,https://www.zillow.com/homedetails/901-Priscilla-Ln-Lafayette-LA-70501/126792384_zpid/
"Apartment for rent - Hammond Place Apartments, 304 S Mooney Ave, Hammond, LA 70403",Hammond,LA,70403,30.498697,-90.47523,1,$583.0,35 days ago,https://www.zillow.com/b/hammond-place-apartments-hammond-la-5j7k2w/
"House for rent - 7623 Wimbledon Ave, Baton Rouge, LA 70810",Baton Rouge,LA,70810,30.380072,-91.08678,4,$2300.0,16 days ago,https://www.zillow.com/homedetails/7623-Wimbledon-Ave-Baton-Rouge-LA-70810/66365311_zpid/
"Apartment for rent - 2939 Audubon St #A, New Orleans, LA 70125",New Orleans,LA,70125,29.95604,-90.11086,3,$1600.0,27 days ago,https://www.zillow.com/homedetails/2939-Audubon-St-A-New-Orleans-LA-70125/2079205330_zpid/
"House for rent - 643 Buckelew St, Shreveport, LA 71101",Shreveport,LA,71101,32.501034,-93.74337,2,$700.0,16 days ago,https://www.zillow.com/homedetails/643-Buckelew-St-Shreveport-LA-71101/51380440_zpid/
"House for rent - 45502 Sciara Ln UNIT 9, Hammond, LA 70401",Hammond,LA,70401,30.518559,-90.53192,1,$725.0,49 days ago,https://www.zillow.com/homedetails/45502-Sciara-Ln-UNIT-9-Hammond-LA-70401/2060259332_zpid/
"Apartment for rent - 1732 Carrollwood Drive - 4B, 1732 Carrollwood Dr, La Place, LA 70068",La Place,LA,70068,30.082603,-90.49336,2,$990.0,36 days ago,https://www.zillow.com/b/1732-carrollwood-drive-4b-laplace-la-9Jjh3g/
"House for rent - 2408 Roosevelt Blvd, Kenner, LA 70062",Kenner,LA,70062,29.999477,-90.232864,3,$1800.0,18 days ago,https://www.zillow.com/homedetails/2408-Roosevelt-Blvd-Kenner-LA-70062/73763504_zpid/
"Apartment for rent - 1828 Baronne St #4, New Orleans, LA 70113",New Orleans,LA,70113,29.937489,-90.08008,1,$1500.0,28 days ago,https://www.zillow.com/homedetails/1828-Baronne-St-4-New-Orleans-LA-70113/2059854808_zpid/
"House for rent - 4119 Belmont St, Shreveport, LA 71108",Shreveport,LA,71108,32.46496,-93.768036,2,$700.0,8 days ago,https://www.zillow.com/homedetails/4119-Belmont-St-Shreveport-LA-71108/51360322_zpid/
"Apartment for rent - 244 Victoria Dr, 244 Victoria Dr #B, Lake Charles, LA 70611",Lake Charles,LA,70611,30.333515,-93.20339,2,$800.0,13 days ago,https://www.zillow.com/b/244-victoria-dr-lake-charles-la-5XsgTw/
"House for rent - 16058 Summer Gardens Ave, Baton Rouge, LA 70817",Baton Rouge,LA,70817,30.383406,-91.00586,3,$2200.0,7 days ago,https://www.zillow.com/homedetails/16058-Summer-Gardens-Ave-Baton-Rouge-LA-70817/2069107948_zpid/
"House for rent - 2163 Treasure St, New Orleans, LA 70122",New Orleans,LA,70122,29.99002,-90.05917,3,$1900.0,14 days ago,https://www.zillow.com/homedetails/2163-Treasure-St-New-Orleans-LA-70122/84452177_zpid/
"House for rent - 529 Wilson St, Lafayette, LA 70503",Lafayette,LA,70503,30.211308,-92.012924,2,$1700.0,18 days ago,https://www.zillow.com/homedetails/529-Wilson-St-Lafayette-LA-70503/77666213_zpid/
"House for rent - 1020 Mildred St, Sulphur, LA 70663",Sulphur,LA,70663,30.239798,-93.38766,3,$950.0,41 days ago,https://www.zillow.com/homedetails/1020-Mildred-St-Sulphur-LA-70663/77610754_zpid/
"Apartment for rent - 814 Alix St, New Orleans, LA 70114",New Orleans,LA,70114,29.952229,-90.04756,2,$1800.0,12 days ago,https://www.zillow.com/homedetails/814-Alix-St-New-Orleans-LA-70114/149050315_zpid/
"House for rent - 7056 Spring Gardens Dr, Baton Rouge, LA 70817",Baton Rouge,LA,70817,30.390396,-91.02261,3,$2100.0,19 days ago,https://www.zillow.com/homedetails/7056-Spring-Gardens-Dr-Baton-Rouge-LA-70817/332939169_zpid/
