street_address,city,state,zipCode,latitude,longitude,beds,sold_price,sold_date,property_link
402 4th St,Abbeville,LA,70510,29.967684,-92.1421,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/402-4th-St-Abbeville-LA-70510/106164300_zpid/
5908 Stumberg Ln UNIT 33,Baton Rouge,LA,70816,30.395285,-91.04011,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/5908-Stumberg-Ln-UNIT-33-Baton-Rouge-LA-70816/108609353_zpid/
4809 Sheryl St,Bossier City,LA,71111,32.54185,-93.66897,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/4809-Sheryl-St-Bossier-City-LA-71111/109787833_zpid/
3512 Glasscock Ave,Bossier City,LA,71112,32.485485,-93.67714,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/3512-Glasscock-Ave-Bossier-City-LA-71112/109796832_zpid/
113 Couples Dr,Bossier City,LA,71111,32.564457,-93.66075,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/113-Couples-Dr-Bossier-City-LA-71111/109808853_zpid/
5921 Wildcrest St,Bossier City,LA,71111,32.563595,-93.64171,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/5921-Wildcrest-St-Bossier-City-LA-71111/109823175_zpid/
3406 Fox Run Cir,Haughton,LA,71037,32.57623,-93.614716,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/3406-Fox-Run-Cir-Haughton-LA-71037/109829773_zpid/
1310 Violet Ave,Bossier City,LA,71112,32.466335,-93.66173,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1310-Violet-Ave-Bossier-City-LA-71112/109832263_zpid/
13304 Arnold Rd,Walker,LA,70785,30.53481,-90.865685,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/13304-Arnold-Rd-Walker-LA-70785/110880012_zpid/
121 Country Living Dr,Lafayette,LA,70507,30.288141,-92.07149,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/121-Country-Living-Dr-Lafayette-LA-70507/110903187_zpid/
111 Girard Park Dr APT 18,Lafayette,LA,70503,30.208769,-92.01698,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/111-Girard-Park-Dr-APT-18-Lafayette-LA-70503/110911918_zpid/
13933 J R Dr,Walker,LA,70785,30.493404,-90.853775,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/13933-J-R-Dr-Walker-LA-70785/110916050_zpid/
423 Pocahontas St,Denham Springs,LA,70726,30.479792,-90.94576,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/423-Pocahontas-St-Denham-Springs-LA-70726/110919696_zpid/
16745 State Highway 16,French Settlement,LA,70733,30.320242,-90.8129,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/16745-State-Highway-16-French-Settlement-LA-70733/110921997_zpid/
20084 Jones Ln,Ponchatoula,LA,70454,30.436111,-90.39452,,,Sold 02/17/2023,https://www.zillow.com/homedetails/20084-Jones-Ln-Ponchatoula-LA-70454/113946526_zpid/
122 Southfork Dr,Youngsville,LA,70592,30.121458,-92.001274,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/122-Southfork-Dr-Youngsville-LA-70592/114247675_zpid/
265 Swafford Rd,Colfax,LA,71417,31.551798,-92.64241,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/265-Swafford-Rd-Colfax-LA-71417/115129657_zpid/
59023 Martin Luther King Blvd,Plaquemine,LA,70764,30.27614,-91.25136,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/59023-Martin-Luther-King-Blvd-Plaquemine-LA-70764/115135482_zpid/
6352 Cherry Ridge Rd,Bastrop,LA,71220,32.79452,-91.88002,2.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/6352-Cherry-Ridge-Rd-Bastrop-LA-71220/115154118_zpid/
7707 Highway 87,Jeanerette,LA,70544,29.886045,-91.52373,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/7707-Highway-87-Jeanerette-LA-70544/115200517_zpid/
210 Louisa St,Morgan City,LA,70380,29.709467,-91.21619,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/210-Louisa-St-Morgan-City-LA-70380/115212022_zpid/
403 Laurel St,Morgan city,LA,70380,29.712578,-91.21522,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/403-Laurel-St-Morgan-City-LA-70380/115212376_zpid/
411 Antee Rd,Boyce,LA,71409,31.314888,-92.67296,0.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/411-Antee-Rd-Boyce-LA-71409/117973768_zpid/
6966 Appleton Oaks Cir,Keithville,LA,71047,32.36285,-93.89782,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/6966-Appleton-Oaks-Cir-Keithville-LA-71047/118316552_zpid/
110 Lakefront Dr,Natchitoches,LA,71457,31.764618,-93.13626,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/110-Lakefront-Dr-Natchitoches-LA-71457/118956053_zpid/
1940 Glasgow Ave,Baton Rouge,LA,70808,30.41108,-91.14202,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1940-Glasgow-Ave-Baton-Rouge-LA-70808/119323370_zpid/
317 Country Village Dr,Raceland,LA,70394,29.661325,-90.548195,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/317-Country-Village-Dr-Raceland-LA-70394/119428293_zpid/
1119 Caroline St,Thibodaux,LA,70301,29.78791,-90.82513,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1119-Caroline-St-Thibodaux-LA-70301/119462550_zpid/
4128 Highway 1,Raceland,LA,70394,29.722866,-90.59166,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/4128-Highway-1-Raceland-LA-70394/119492914_zpid/
333 E Boyd Dr #20,Baton Rouge,LA,70808,30.401114,-91.17454,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/333-E-Boyd-Dr-20-Baton-Rouge-LA-70808/121250512_zpid/
104 Iron Wood Way,Lafayette,LA,70508,30.132965,-92.05596,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/104-Iron-Wood-Way-Lafayette-LA-70508/123445127_zpid/
635 Bossier Point Rd,Elm Grove,LA,71051,32.340252,-93.45142,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/635-Bossier-Point-Rd-Elm-Grove-LA-71051/123623661_zpid/
1025 Richmond Cir,Lake Charles,LA,70605,30.16355,-93.237625,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1025-Richmond-Cir-Lake-Charles-LA-70605/123795062_zpid/
456 E River Rd,Glenmora,LA,71433,31.063032,-92.68485,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/456-E-River-Rd-Glenmora-LA-71433/124049159_zpid/
6763 Eliza Dr,Addis,LA,70710,30.373823,-91.264984,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/6763-Eliza-Dr-Addis-LA-70710/124084035_zpid/
326 Crossing North St,Thibodaux,LA,70301,29.768187,-90.7772,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/326-Crossing-North-St-Thibodaux-LA-70301/125070703_zpid/
4018 Highway 8,Pollock,LA,71467,31.51762,-92.457466,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/4018-Highway-8-Pollock-LA-71467/126103765_zpid/
1307 Thomassee Rd,Arnaudville,LA,70512,30.43266,-91.9928,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1307-Thomassee-Rd-Arnaudville-LA-70512/126660107_zpid/
210 La Villa Cir,Youngsville,LA,70592,30.133278,-91.999214,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/210-La-Villa-Cir-Youngsville-LA-70592/126792850_zpid/
233 Marilyn Dr,Lafayette,LA,70503,30.195986,-92.051834,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/233-Marilyn-Dr-Lafayette-LA-70503/126793460_zpid/
102 Silverwood Dr,Broussard,LA,70518,30.113747,-91.96793,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/102-Silverwood-Dr-Broussard-LA-70518/126834289_zpid/
16 Xv Hales Rd,Rayville,LA,71269,32.351513,-91.7478,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/16-Xv-Hales-Rd-Rayville-LA-71269/126954927_zpid/
106 Hazy River Way,Lafayette,LA,70508,30.116442,-92.05111,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/106-Hazy-River-Way-Lafayette-LA-70508/145623375_zpid/
306 Old Silo Rd,Rayne,LA,70578,30.16614,-92.20032,3.0,$190000.0,Sold 02/17/2023,https://www.zillow.com/homedetails/306-Old-Silo-Rd-Rayne-LA-70578/145626300_zpid/
1439 Lizardi St,New Orleans,LA,70117,29.966066,-90.01895,5.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1439-Lizardi-St-New-Orleans-LA-70117/149021444_zpid/
38 Mark Smith Dr,Mandeville,LA,70471,30.390242,-90.10297,5.0,$1050000.0,Sold 02/17/2023,https://www.zillow.com/homedetails/38-Mark-Smith-Dr-Mandeville-LA-70471/190881971_zpid/
5783 Bellevue Rd,Haughton,LA,71037,32.664215,-93.530754,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/5783-Bellevue-Rd-Haughton-LA-71037/208099962_zpid/
308 Gary K St,Pineville,LA,71360,31.33979,-92.3617,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/308-Gary-K-St-Pineville-LA-71360/209893425_zpid/
11380 Palmetto Lake Ave,Denham Springs,LA,70726,30.45407,-90.90071,2.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/11380-Palmetto-Lake-Ave-Denham-Springs-LA-70726/210294818_zpid/
5103 Bens Cir,New Iberia,LA,70560,29.937872,-91.78618,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/5103-Bens-Cir-New-Iberia-LA-70560/221209309_zpid/
