street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"Apartment for rent - 575 O'Farrell St, 575 Ofarrell St, San Francisco, CA 94102",San Francisco,CA,94102,37.78555,-122.41409,1,$2245.0,7 days ago,https://www.zillow.com/b/575-o%27farrell-st-san-francisco-ca-5j4D5y/
"Apartment for rent - 1000-1010 Bush Street, 1000-1010 Bush St #4, San Francisco, CA 94109",San Francisco,CA,94109,37.789185,-122.41649,1,$2095.0,42 days ago,https://www.zillow.com/b/1000-1010-bush-street-san-francisco-ca-BQjMjR/
"Apartment for rent - The Presidio Landmark, 1801 Wedemeyer St UNIT 217, San Francisco, CA 94129",San Francisco,CA,94129,37.78881,-122.47466,1,$2970.0,18 days ago,https://www.zillow.com/b/the-presidio-landmark-san-francisco-ca-5XkJwH/
"Waterbend - 5880 3rd St, San Francisco, CA",San Francisco,CA,94124,37.72495,-122.3947,1,"$2,832+",3D Tour,https://www.zillow.com/b/waterbend-san-francisco-ca-9NLgqG/
"990 Geary - 990 Geary St, San Francisco, CA",San Francisco,CA,94109,37.786186,-122.41949,1,"$2,695+",3D Tour,https://www.zillow.com/b/990-geary-san-francisco-ca-5XjSTc/
"947 Bush - 947 Bush St, San Francisco, CA",San Francisco,CA,94109,37.78937,-122.412704,1,"$2,595+",,https://www.zillow.com/b/947-bush-san-francisco-ca-5XjW9S/
"Apartment for rent - 333 Fremont, 333 Fremont St APT 607, San Francisco, CA 94105",San Francisco,CA,94105,37.78768,-122.39269,1,$2949.0,13 days ago,https://www.zillow.com/b/333-fremont-san-francisco-ca-5gjwKL/
"Apartment for rent - 950 Franklin, 950 Franklin St APT 25, San Francisco, CA 94109",San Francisco,CA,94109,37.78339,-122.42236,1,$2695.0,84 days ago,https://www.zillow.com/b/950-franklin-san-francisco-ca-5Xj398/
"Delphine on Diamond - 5285 Diamond Heights Blvd, San Francisco, CA",San Francisco,CA,94131,37.74446,-122.43854,1,"$2,815+",Updated today,https://www.zillow.com/b/delphine-on-diamond-san-francisco-ca-5XjTZJ/
"Apartment for rent - Loft 168, 168 Bluxome St, San Francisco, CA 94107",San Francisco,CA,94107,37.774837,-122.39982,1,$2800.0,112 days ago,https://www.zillow.com/b/loft-168-san-francisco-ca-9NK42M/
"Apartment for rent - Geary Courtyard, 639 Geary St #1-214, San Francisco, CA 94102",San Francisco,CA,94102,37.786358,-122.413826,1,$2494.0,5 days ago,https://www.zillow.com/b/geary-courtyard-san-francisco-ca-5XjRSd/
"Apartment for rent - NorthPoint Vistas, 2351 Powell St, San Francisco, CA 94133",San Francisco,CA,94133,37.80619,-122.41287,1,$3000.0,116 days ago,https://www.zillow.com/b/northpoint-vistas-san-francisco-ca-5XqJsJ/
"ChesHill on Mission - 33 Seneca Ave, San Francisco, CA",San Francisco,CA,94112,37.71773,-122.44059,1,"$2,800+",,https://www.zillow.com/b/cheshill-on-mission-san-francisco-ca-BKTtQD/
"750 O'Farrell St - 750 Ofarrell St, San Francisco, CA",San Francisco,CA,94109,37.785538,-122.41725,1,"$2,145+",3D Tour,https://www.zillow.com/b/750-o%27farrell-st-san-francisco-ca-5YXpvZ/
"Apartment for rent - 1845 Cabrillo, 1845 Cabrillo St, San Francisco, CA 94121",San Francisco,CA,94121,37.774418,-122.478676,1,$2700.0,112 days ago,https://www.zillow.com/b/1845-cabrillo-san-francisco-ca-9NLGzH/
"Apartment for rent - Fox Plaza, 1390 Market St APT 2109, San Francisco, CA 94102",San Francisco,CA,94102,37.77712,-122.41699,1,$2529.0,10 days ago,https://www.zillow.com/b/fox-plaza-san-francisco-ca-5Xj2b8/
"HQ - 1532 Harrison St, San Francisco, CA",San Francisco,CA,94103,37.77048,-122.413315,1/2,"$2,906+/$2,629+",,https://www.zillow.com/b/hq-san-francisco-ca-9NJthZ/
"Apartment for rent - Grosvenor Atrium, 1690 Broadway, San Francisco, CA 94123",San Francisco,CA,94123,37.79587,-122.42479,1,$3000.0,116 days ago,https://www.zillow.com/b/grosvenor-atrium-san-francisco-ca-5XjKR5/
"Apartment for rent - 24 Franklin, 24 Franklin St #701, San Francisco, CA 94102",San Francisco,CA,94102,37.774788,-122.4207,1,$2895.0,4 days ago,https://www.zillow.com/b/24-franklin-san-francisco-ca-9NJqFL/
"Potrero 1010 - 1010 16th St, San Francisco, CA",San Francisco,CA,94107,37.766552,-122.39746,1,"$2,902+",,https://www.zillow.com/b/potrero-1010-san-francisco-ca-65fB7S/
"Apartment for rent - Mt. Sutro, 480 Warren Dr, San Francisco, CA 94131",San Francisco,CA,94131,37.75853,-122.462425,1,$2595.0,48 days ago,https://www.zillow.com/b/mt.-sutro-san-francisco-ca-5XjVRC/
"SoMa Square - 1 Saint Francis Pl, San Francisco, CA",San Francisco,CA,94107,37.783566,-122.397865,1,"$2,731+",3D Tour,https://www.zillow.com/b/soma-square-san-francisco-ca-5Xj2Yr/
"970 Geary St - 970 Geary St, San Francisco, CA",San Francisco,CA,94109,37.78622,-122.4192,1,"$2,095+",3D Tour,https://www.zillow.com/b/970-geary-st-san-francisco-ca-5YDJ2Y/
"952 Sutter St. - 952 Sutter St, San Francisco, CA",San Francisco,CA,94109,37.78854,-122.416176,1,"$2,195+",3D Tour,https://www.zillow.com/b/952-sutter-st.-san-francisco-ca-5XjxLz/
"Apartment for rent - 1755 Van Ness Ave, 1755 Van Ness Ave #201, San Francisco, CA 94109",San Francisco,CA,94109,37.791924,-122.423065,1,$2995.0,31 days ago,https://www.zillow.com/b/1755-van-ness-ave-san-francisco-ca-5Xk3VN/
"Apartment for rent - 240 Dolores Street Apartments, 240 Dolores St APT 210, San Francisco, CA 94103",San Francisco,CA,94103,37.765343,-122.42723,1,$2749.0,14 days ago,https://www.zillow.com/b/240-dolores-street-apartments-san-francisco-ca-5XjQJR/
"Apartment for rent - 50 Golden Gate Ave., 50 Golden Gate Ave APT 404, San Francisco, CA 94102",San Francisco,CA,94102,37.782448,-122.41153,1,$1950.0,18 days ago,https://www.zillow.com/b/50-golden-gate-ave.-san-francisco-ca-5j4CFB/
"Apartment for rent - Lofts at Seven, 277 Golden Gate Ave, San Francisco, CA 94102",San Francisco,CA,94102,37.78141,-122.414925,1,$2395.0,116 days ago,https://www.zillow.com/b/lofts-at-seven-san-francisco-ca-5XmsgS/
"245 Leavenworth St. - 245 Leavenworth St, San Francisco, CA",San Francisco,CA,94102,37.783394,-122.41453,1,"$2,195+",3D Tour,https://www.zillow.com/b/245-leavenworth-st.-san-francisco-ca-5YzSCr/
"1395 Golden Gate Ave - 1395 Golden Gate Ave, San Francisco, CA",San Francisco,CA,94115,37.779156,-122.4333,1,"$2,595+",3D Tour,https://www.zillow.com/b/1395-golden-gate-ave-san-francisco-ca-9NKqZX/
"Apartment for rent - Bennett Lofts, 530 Brannan St #42-108, San Francisco, CA 94107",San Francisco,CA,94107,37.777885,-122.39733,1,$2999.0,20 days ago,https://www.zillow.com/b/bennett-lofts-san-francisco-ca-5Xrcx6/
"Webster Tower and Terrace - 1489 Webster St, San Francisco, CA",San Francisco,CA,94115,37.783894,-122.43201,1/2/3,"$1,995+/$2,595+/$2,995+",3D Tour,https://www.zillow.com/b/webster-tower-and-terrace-san-francisco-ca-5Xk3Sh/
"Apartment for rent - 2350 Union St., 2350 Union St #C, San Francisco, CA 94123",San Francisco,CA,94123,37.797047,-122.43806,1,$2695.0,29 days ago,https://www.zillow.com/b/2350-union-st.-san-francisco-ca-5XqDrL/
"Apartment for rent - 1 bed, $2,795, 3098 California St APT 17, San Francisco, CA 94115",San Francisco,CA,94115,37.7877,-122.44524,1,$2795.0,17 hours ago,https://www.zillow.com/b/3098-california-street-san-francisco-ca-5XxpW2/
