street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
612 Parkside Dr,Thibodaux,LA,70301,29.807516,-90.74474,3.0,$392000.0,2 days on Zillow,https://www.zillow.com/homedetails/612-Parkside-Dr-Thibodaux-LA-70301/119439554_zpid/
1717 Sawgrass Dr,Westlake,LA,70669,30.27648,-93.2688,4.0,$277400.0,Open: M: 10:00 AM-6:00 ...,https://www.zillow.com/homedetails/1717-Sawgrass-Dr-Westlake-LA-70669/2059090238_zpid/
6331 Westwind Ave,Baton Rouge,LA,70817,30.393677,-90.97588,4.0,$0.0,18 hours ago,https://www.zillow.com/homedetails/6331-Westwind-Ave-Baton-Rouge-LA-70817/66266025_zpid/
852 Abita Chas,Bossier City,LA,71111,32.61989,-93.69155,3.0,$320000.0,1 day on Zillow,https://www.zillow.com/homedetails/852-Abita-Chas-Bossier-City-LA-71111/317168916_zpid/
1107 W Saint Mary Blvd,Lafayette,LA,70506,30.221441,-92.0296,4.0,$360000.0,26 days on Zillow,https://www.zillow.com/homedetails/1107-W-Saint-Mary-Blvd-Lafayette-LA-70506/77642900_zpid/
111 Stable Creek Dr,Lafayette,LA,70506,30.209232,-92.07962,3.0,$195000.0,16 days on Zillow,https://www.zillow.com/homedetails/111-Stable-Creek-Dr-Lafayette-LA-70506/123430667_zpid/
1715 Sawgrass Dr,Westlake,LA,70669,30.27648,-93.2688,4.0,$322400.0,Open: M: 10:00 AM-6:00 ...,https://www.zillow.com/homedetails/1715-Sawgrass-Dr-Westlake-LA-70669/2059090237_zpid/
4 Riverbend Ln,Covington,LA,70433,30.461914,-90.10222,4.0,$679000.0,81 days on Zillow,https://www.zillow.com/homedetails/4-Riverbend-Ln-Covington-LA-70433/96240954_zpid/
1010 Highway 304 LOT 1,Thibodaux,LA,70301,29.807516,-90.74474,3.0,$65000.0,56 days on Zillow,https://www.zillow.com/homedetails/1010-Highway-304-LOT-1-Thibodaux-LA-70301/2060313615_zpid/
17456 Les Chenier St,Prairieville,LA,70769,30.325594,-90.95713,3.0,$279000.0,"$6,000 (Feb 20)",https://www.zillow.com/homedetails/17456-Les-Chenier-St-Prairieville-LA-70769/35970335_zpid/
100 Woodridge Cir,Pineville,LA,71360,31.34449,-92.38847,3.0,$235500.0,88 days on Zillow,https://www.zillow.com/homedetails/100-Woodridge-Cir-Pineville-LA-71360/77714805_zpid/
2210 Redwood Dr,Monroe,LA,71201,32.534622,-92.10581,3.0,$169000.0,"$6,000 (Dec 13)",https://www.zillow.com/homedetails/2210-Redwood-Dr-Monroe-LA-71201/92482745_zpid/
3037 Grace Harper Dr,Bossier City,LA,71112,32.448723,-93.63722,3.0,$249500.0,6 days on Zillow,https://www.zillow.com/homedetails/3037-Grace-Harper-Dr-Bossier-City-LA-71112/315200033_zpid/
705 Roder St,Berwick,LA,70342,29.700768,-91.226074,3.0,$150000.0,26 days on Zillow,https://www.zillow.com/homedetails/705-Roder-St-Berwick-LA-70342/115210352_zpid/
213 Dobbertine Rd,Lake Charles,LA,70607,30.160694,-93.2211,4.0,$61000.0,20 days on Zillow,https://www.zillow.com/homedetails/213-Dobbertine-Rd-Lake-Charles-LA-70607/242867805_zpid/
3001 Virgil Cheveallier,Pollock,LA,71467,31.52698,-92.40504,3.0,$50000.0,13 days on Zillow,https://www.zillow.com/homedetails/3001-Virgil-Cheveallier-Pollock-LA-71467/115132834_zpid/
1657 Savoie Rd,Cankton,LA,70584,30.346758,-92.11166,4.0,$229000.0,50 days on Zillow,https://www.zillow.com/homedetails/1657-Savoie-Rd-Cankton-LA-70584/119140065_zpid/
Walker Rd LOT WP001,Kentwood,LA,70444,30.8568,-90.3442,,$191520.0,20 hours ago,https://www.zillow.com/homedetails/Walker-Rd-LOT-WP001-Kentwood-LA-70444/2059089773_zpid/
350 Lake Loop,Deridder,LA,70634,30.743849,-93.09503,3.0,$80000.0,35 days on Zillow,https://www.zillow.com/homedetails/350-Lake-Loop-Deridder-LA-70634/106023032_zpid/
1813 Donna Dr,Franklin,LA,70538,29.793,-91.5189,3.0,$110000.0,"$8,000 (Jan 26)",https://www.zillow.com/homedetails/1813-Donna-Dr-Franklin-LA-70538/2116757171_zpid/
611 Harold St,Eunice,LA,70535,30.482079,-92.43274,4.0,$205000.0,6 days on Zillow,https://www.zillow.com/homedetails/611-Harold-St-Eunice-LA-70535/106143567_zpid/
4840 Purdue Dr,Metairie,LA,70003,30.003683,-90.21186,3.0,$235000.0,"$10,000 (Jan 18)",https://www.zillow.com/homedetails/4840-Purdue-Dr-Metairie-LA-70003/73723663_zpid/
502 Robert Lee Cir,Lafayette,LA,70506,30.223068,-92.047295,4.0,$299900.0,98 days on Zillow,https://www.zillow.com/homedetails/502-Robert-Lee-Cir-Lafayette-LA-70506/77640686_zpid/
3316 Saint Philip St,New Orleans,LA,70119,29.97756,-90.087616,2.0,$379000.0,3 days on Zillow,https://www.zillow.com/homedetails/3316-Saint-Philip-St-New-Orleans-LA-70119/2059111394_zpid/
7919 Pipes Ln,Ethel,LA,70730,30.873491,-91.095955,3.0,$529900.0,74 days on Zillow,https://www.zillow.com/homedetails/7919-Pipes-Ln-Ethel-LA-70730/106045053_zpid/
12215 Chester Dr,Baton Rouge,LA,70810,30.362482,-91.08603,5.0,$599500.0,17 days on Zillow,https://www.zillow.com/homedetails/12215-Chester-Dr-Baton-Rouge-LA-70810/66350034_zpid/
54 S Marigold Dr,Covington,LA,70433,30.451406,-90.128296,3.0,$275000.0,"$20,000 (Jan 31)",https://www.zillow.com/homedetails/54-S-Marigold-Dr-Covington-LA-70433/96161990_zpid/
2552 Scarlett Dr,Lake Charles,LA,70611,30.345646,-93.21573,4.0,$379500.0,120 days on Zillow,https://www.zillow.com/homedetails/2552-Scarlett-Dr-Lake-Charles-LA-70611/77599304_zpid/
680 Dumaine Dr,Bossier City,LA,71111,32.62369,-93.72304,4.0,$450000.0,76 days on Zillow,https://www.zillow.com/homedetails/680-Dumaine-Dr-Bossier-City-LA-71111/208129451_zpid/
2017 Belle Grove Dr #BEL0007,Waxhaw,NC,28173,32.538815,-93.71097,4.0,$1110066.0,17 hours ago,https://www.zillow.com/homedetails/2017-Belle-Grove-Dr-BEL0007-Waxhaw-NC-28173/2059087451_zpid/
1955 Bayou Dr,Shreveport,LA,71105,32.46096,-93.70056,3.0,$229000.0,$900 (Jan 25),https://www.zillow.com/homedetails/1955-Bayou-Dr-Shreveport-LA-71105/51339328_zpid/
1214 Hoffpauir Rd,Ragley,LA,70657,30.48328,-93.265465,3.0,$165000.0,21 days on Zillow,https://www.zillow.com/homedetails/1214-Hoffpauir-Rd-Ragley-LA-70657/2059755083_zpid/
254 Tanglewood Loop,Deridder,LA,70634,30.79663,-93.246925,5.0,$259000.0,"$5,000 (Dec 4)",https://www.zillow.com/homedetails/254-Tanglewood-Loop-Deridder-LA-70634/106015697_zpid/
408 Arlington Ave,Houma,LA,70363,29.584736,-90.6871,3.0,$60000.0,48 days on Zillow,https://www.zillow.com/homedetails/408-Arlington-Ave-Houma-LA-70363/77754717_zpid/
4555 Battington Ln,Sulphur,LA,70665,30.11277,-93.46431,4.0,$500000.0,"$7,000 (Feb 20)",https://www.zillow.com/homedetails/4555-Battington-Ln-Sulphur-LA-70665/2059268281_zpid/
17536 Culps Bluff Ave,Baton Rouge,LA,70817,30.380144,-90.96814,4.0,$325000.0,49 days on Zillow,https://www.zillow.com/homedetails/17536-Culps-Bluff-Ave-Baton-Rouge-LA-70817/66231805_zpid/
1033 Nelson Rd,Saint Martinville,LA,70582,30.079058,-91.87099,5.0,$343000.0,"$5,000 (Feb 15)",https://www.zillow.com/homedetails/1033-Nelson-Rd-Saint-Martinville-LA-70582/106153886_zpid/
