street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
343 Wortman Loop,Sitka,AK,99835,57.06805,-135.35892,,$0.0,22 days on Zillow,https://www.zillow.com/homedetails/343-Wortman-Loop-Sitka-AK-99835/125006717_zpid/
4169 Cosmos Dr,Anchorage,AK,99517,61.189735,-149.9617,2.0,$0.0,36 days on Zillow,https://www.zillow.com/homedetails/4169-Cosmos-Dr-Anchorage-AK-99517/24433_zpid/
1540 N Chattaroy Cir,Wasilla,AK,99654,61.59624,-149.42218,6.0,$0.0,50 days on Zillow,https://www.zillow.com/homedetails/1540-N-Chattaroy-Cir-Wasilla-AK-99654/219467112_zpid/
6207 E Tudor Rd #3,Anchorage,AK,99507,61.18091,-149.76553,2.0,$125100.0,78 days on Zillow,https://www.zillow.com/homedetails/6207-E-Tudor-Rd-3-Anchorage-AK-99507/88894450_zpid/
3163 Tongass Blvd,Juneau,AK,99801,58.37723,-134.57298,3.0,$0.0,33 days on Zillow,https://www.zillow.com/homedetails/3163-Tongass-Blvd-Juneau-AK-99801/74509482_zpid/
9120 Ticia Cir,Anchorage,AK,99502,61.138218,-149.93849,3.0,$0.0,29 days on Zillow,https://www.zillow.com/homedetails/9120-Ticia-Cir-Anchorage-AK-99502/34926_zpid/
7141 W Windsor Dr,Wasilla,AK,99623,61.526764,-149.6302,3.0,$0.0,28 days on Zillow,https://www.zillow.com/homedetails/7141-W-Windsor-Dr-Wasilla-AK-99623/74522437_zpid/
1673 S Heather Meadows Loop,Anchorage,AK,99507,61.13972,-149.8511,4.0,$0.0,78 days on Zillow,https://www.zillow.com/homedetails/1673-S-Heather-Meadows-Loop-Anchorage-AK-99507/2060510663_zpid/
17721 Beaujolais Dr,Eagle River,AK,99577,61.33921,-149.55162,3.0,$0.0,56 days on Zillow,https://www.zillow.com/homedetails/17721-Beaujolais-Dr-Eagle-River-AK-99577/54992_zpid/
3912 Barbara Dr,Anchorage,AK,99517,61.18384,-149.93306,,$90000.0,"$20,000 (Nov 29)",https://www.zillow.com/homedetails/3912-Barbara-Dr-Anchorage-AK-99517/130182169_zpid/
473 N Alaska St,Palmer,AK,99645,61.61212,-149.11401,4.0,$0.0,259 days on Zillow,https://www.zillow.com/homedetails/473-N-Alaska-St-Palmer-AK-99645/74523872_zpid/
6721 Teshlar Dr,Anchorage,AK,99507,61.160034,-149.82713,3.0,$0.0,112 days on Zillow,https://www.zillow.com/homedetails/6721-Teshlar-Dr-Anchorage-AK-99507/38600_zpid/
17025 Park Place St,Eagle River,AK,99577,61.326397,-149.56412,7.0,$0.0,41 days on Zillow,https://www.zillow.com/homedetails/17025-Park-Place-St-Eagle-River-AK-99577/55985_zpid/
7110 Ambler Ln APT 15,Anchorage,AK,99504,61.181454,-149.74823,2.0,$0.0,48 days on Zillow,https://www.zillow.com/homedetails/7110-Ambler-Ln-APT-15-Anchorage-AK-99504/64732370_zpid/
23012 Homestead Rd,Chugiak,AK,99567,61.41142,-149.45361,3.0,$0.0,16 days on Zillow,https://www.zillow.com/homedetails/23012-Homestead-Rd-Chugiak-AK-99567/60574_zpid/
4305 Parsons Ave,Anchorage,AK,99508,61.22973,-149.80035,9.0,$0.0,86 days on Zillow,https://www.zillow.com/homedetails/4305-Parsons-Ave-Anchorage-AK-99508/2106124393_zpid/
734 Manchester Loop,Fairbanks,AK,99712,64.90843,-147.71104,,$0.0,16 days on Zillow,https://www.zillow.com/homedetails/734-Manchester-Loop-Fairbanks-AK-99712/219808854_zpid/
4333 San Ernesto Ave UNIT 210,Anchorage,AK,99508,61.21263,-149.80005,,$0.0,28 days on Zillow,https://www.zillow.com/homedetails/4333-San-Ernesto-Ave-UNIT-210-Anchorage-AK-99508/2064907210_zpid/
516 N Park St,Anchorage,AK,99508,61.228184,-149.80331,6.0,$0.0,135 days on Zillow,https://www.zillow.com/homedetails/516-N-Park-St-Anchorage-AK-99508/8394_zpid/
Bird Homestead Sub LOT 4,Soldotna,AK,99669,60.327168,-150.79376,,$30000.0,"$1,000 (Dec 29)",https://www.zillow.com/homedetails/Bird-Homestead-Sub-LOT-4-Soldotna-AK-99669/2061807163_zpid/
3921 Peterkin Ave,Anchorage,AK,99508,61.226105,-149.80705,9.0,$163300.0,78 days on Zillow,https://www.zillow.com/homedetails/3921-Peterkin-Ave-Anchorage-AK-99508/2064922513_zpid/
6027 Montgomery St,Juneau,AK,99801,58.359825,-134.50505,3.0,$0.0,36 days on Zillow,https://www.zillow.com/homedetails/6027-Montgomery-St-Juneau-AK-99801/74508115_zpid/
0,Willow,AK,99688,,,,$48000.0,280 days on Zillow,https://www.zillow.com/homedetails/0-Willow-AK-99688/2063237660_zpid/
17335 Meadow Creek Dr,Eagle River,AK,99577,61.316113,-149.55902,3.0,$0.0,23 days on Zillow,https://www.zillow.com/homedetails/17335-Meadow-Creek-Dr-Eagle-River-AK-99577/57164_zpid/
18591 Jude Island Cir,Eagle River,AK,99577,61.301884,-149.53632,3.0,$0.0,72 days on Zillow,https://www.zillow.com/homedetails/18591-Jude-Island-Cir-Eagle-River-AK-99577/63291_zpid/
2731 Westwind Cir,Anchorage,AK,99516,61.100082,-149.83234,3.0,$0.0,161 days on Zillow,https://www.zillow.com/homedetails/2731-Westwind-Cir-Anchorage-AK-99516/52481_zpid/
